Name,Latitude,Longitude,Branch,Type
Tripler Army Medical Ctr,21.36154838,-157.8922375,Army,army
Makua Mil Res,21.53442628,-158.2157226,Other,other
Ng Havre de Grace Mil Res,39.53155298,-76.10328959,Other,other
Aliamanu Mil Res,21.36223023,-157.9116387,Other,other
Waianae-Kai Mil Res,21.4471587,-158.1913109,Other,other
Schofield Barracks Mil Res,21.49907122,-158.0678734,Other,other
Helemano Mil Res,21.53612316,-158.0198342,Other,other
Ng Mta Gunpowder Mil Res,39.42925297,-76.50483659,Other,other
Ng Papago Mil Res,33.4649108,-111.961189,Other,other
West Point Mil Res,41.36925599,-74.02659936,Other,other
Ng Florence Mil Res,33.12949081,-111.3343911,Other,other
Keaukaha Mil Res,19.70777338,-155.0413454,Other,other
Stone Ranch Mil Res,41.35103258,-72.28380508,Other,other
Thunderbird Youth Acdmy,36.2956999,-95.29985267,Other,other
Malmstrom AFB,47.4887949,-111.2077969,Air Force,air
Macdill AFB,27.83704587,-82.50552937,Air Force,air
Andrews AFB,38.80168005,-76.87908556,Air Force,air
Bolling AFB,38.83798351,-77.0217649,Air Force,air
Offutt AFB,41.12148618,-95.90912178,Air Force,air
Maxwell AFB,32.38633471,-86.35189056,Air Force,air
Kirtland AFB,35.03885661,-106.5456496,Air Force,air
Wright-Patterson AFB,39.82045787,-84.04481315,Air Force,air
Robins AFB,32.60094929,-83.5871173,Air Force,air
Langley AFB,37.0887792,-76.36060494,Air Force,air
Vandenberg AFB,34.67052745,-120.600174,Air Force,air
McConnell AFB,37.62810073,-97.26555382,Air Force,air
Pope AFB,35.17475561,-79.02110269,Air Force,air
Charleston AFB,32.89694843,-80.04608371,Air Force,air
Edwards AFB,34.90782308,-117.8592555,Air Force,air
Arnold AFB,35.33674817,-86.08056693,Air Force,air
Elmendorf AFB,61.25466062,-149.8165718,Air Force,air
Cannon AFB,34.38358421,-103.3099727,Air Force,air
Fairchild AFB,47.62104052,-117.6539868,Air Force,air
Andersen AFB,13.58815778,144.9325754,Air Force,air
Moody AFB,30.97548412,-83.19505742,Air Force,air
Dover AFB,39.12361373,-75.46686023,Air Force,air
Columbus AFB,33.63605359,-88.45172266,Air Force,air
F E Warren AFB,41.16300462,-104.8611149,Air Force,air
Goodfellow AFB,31.43457512,-100.4081799,Air Force,air
Seymour Johnson AFB,35.3460926,-77.97736834,Air Force,air
Vance AFB,36.34405166,-97.90792607,Air Force,air
Mountain Home AFB,43.04986709,-115.8609492,Air Force,air
